time,dt,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_acc_x,ang_acc_y,ang_acc_z,roll,pitch,yaw,q_w,q_x,q_y,q_z,pwm_1,pwm_2,pwm_3,pwm_4,total_thrust,cmd_thrust,cmd_roll_rate,cmd_pitch_rate,cmd_yaw_rate,x_ref,y_ref,z_ref,yaw_ref
0.0,0.0,-1.346074,-1.509054,-0.991101,-0.392875,0.349301,-0.016349,-0.039014,-0.043738,-9.851437,0.000126,0.00208,-0.000201,-0.000839,0.002017,-0.001306,0.0,0.0,0.0,0.70177,0.002975,-0.005384,0.712377,0.0,0.0,0.0,0.0,0.0,-0.730747,-0.001175,0.002562,-0.000741,-1.363468,-1.4632,-1.0,0.0
0.019991,0.019991,-1.354782,-1.500462,-0.991053,-0.39062,0.35131,-0.0173,-0.043454,-0.047992,-9.852429,0.000501,0.002144,-0.001512,0.000213,0.002338,-0.001979,0.0,0.0,0.0,0.701776,0.002956,-0.005377,0.712371,0.0,0.0,0.0,0.0,0.0,-0.730677,-0.002714,0.004834,-0.000773,-1.356135,-1.469999,-1.0,0.0
0.039989,0.019998,-1.360557,-1.494714,-0.991045,-0.389016,0.352639,-0.017943,-0.045468,-0.049655,-9.847733,0.000492,0.002745,-0.001246,-0.000276,0.003142,-0.002215,0.0,0.0,0.0,0.70178,0.00294,-0.005367,0.712367,0.0,0.0,0.0,0.0,0.0,-0.730628,-0.000767,0.003145,-0.000727,-1.348768,-1.476761,-1.0,0.0
0.059988,0.019999,-1.369159,-1.486012,-0.991056,-0.3867,0.354807,-0.018902,-0.044707,-0.050069,-9.854605,-2.1e-05,0.003112,-0.001379,-0.00031,0.002729,-0.002411,0.0,0.0,0.0,0.701786,0.002907,-0.005348,0.712362,0.0,0.0,0.0,0.0,0.0,-0.730544,-0.002274,0.005272,-0.000757,-1.341367,-1.483487,-1.0,0.0
0.079987,0.019999,-1.374872,-1.480173,-0.991085,-0.38508,0.356221,-0.019557,-0.036786,-0.047108,-9.854534,-0.000635,0.004011,-0.001432,0.000761,0.003139,-0.001218,0.0,0.0,0.0,0.701793,0.002883,-0.005338,0.712355,0.0,0.0,0.0,0.0,0.0,-0.730484,-0.00038,0.003573,-0.00072,-1.333933,-1.490175,-1.0,0.0
0.100197,0.02021,-1.383361,-1.471328,-0.991148,-0.382748,0.358452,-0.020518,-0.040171,-0.043166,-9.855554,-0.000147,0.00387,-0.001711,0.000304,0.003798,-0.001791,0.0,0.0,0.0,0.701803,0.00285,-0.005312,0.712345,0.0,0.0,0.0,0.0,0.0,-0.730423,0.001442,0.001857,-0.000686,-1.326466,-1.496826,-1.0,0.0
0.119988,0.019791,-1.388995,-1.465387,-0.991208,-0.38122,0.359891,-0.021169,-0.042135,-0.041102,-9.849064,0.000506,0.002646,-0.000847,-1.1e-05,0.003132,-0.001896,0.0,0.0,0.0,0.701806,0.002837,-0.005296,0.712343,0.0,0.0,0.0,0.0,0.0,-0.730324,4.6e-05,0.004163,-0.000709,-1.318965,-1.50344,-1.0,0.0
0.139988,0.02,-1.397404,-1.456411,-0.991323,-0.379043,0.362003,-0.021962,-0.048359,-0.047534,-9.840889,0.000574,0.003633,-0.000419,0.000751,0.003727,-0.000821,0.0,0.0,0.0,0.701808,0.002811,-0.005271,0.712341,0.0,0.0,0.0,0.0,0.0,-0.73026,0.001672,0.002519,-0.000678,-1.311431,-1.510016,-1.0,0.0
0.159988,0.02,-1.402975,-1.450374,-0.991416,-0.377524,0.363412,-0.022513,-0.051326,-0.038263,-9.844496,0.001104,0.00432,-0.001044,0.001132,0.005064,-5.7e-05,0.0,0.0,0.0,0.701811,0.002795,-0.005245,0.712339,0.0,0.0,0.0,0.0,0.0,-0.73017,0.0002,0.004937,-0.000692,-1.303865,-1.516554,-1.0,0.0
0.179956,0.019968,-1.405759,-1.447351,-0.991471,-0.376795,0.364077,-0.022781,-0.05191,-0.051909,-9.846841,0.000747,0.004997,-6.8e-05,0.000679,0.004406,-0.001695,0.0,0.0,0.0,0.701809,0.002783,-0.005231,0.71234,0.0,0.0,0.0,0.0,0.0,-0.730101,0.00173,0.003054,-0.000658,-1.296266,-1.523054,-1.0,0.0
