pair_idx,dt,curr_x,curr_y,curr_z,curr_roll,curr_pitch,curr_yaw,curr_vx,curr_vy,curr_vz,curr_wx,curr_wy,curr_wz,curr_ax,curr_ay,curr_az,curr_alpha_x,curr_alpha_y,curr_alpha_z,thrust,torque_roll,torque_pitch,torque_yaw,next_x,next_y,next_z,next_roll,next_pitch,next_yaw,next_vx,next_vy,next_vz,next_wx,next_wy,next_wz,next_ax,next_ay,next_az,next_alpha_x,next_alpha_y,next_alpha_z
0,0.019994,0.167956,-0.035070,-0.053622,-0.003400,0.003004,1.560010,-0.034784,0.167662,-0.011627,-0.038426,0.039023,0.040808,-0.255342,-0.041124,0.148191,-0.038651,0.037382,0.066120,-0.106187,-0.006115,-0.072297,0.048055,0.166251,-0.032501,-0.054143,-0.003568,0.003201,1.560092,-0.033762,0.166184,-0.012451,-0.031372,0.035399,0.057915,-0.359822,-0.192767,0.130039,-0.032653,0.036799,0.065268
1,0.020011,0.456950,-1.101890,-0.933523,0.008584,-0.012778,1.299833,0.429210,0.138639,0.630142,0.087135,0.043211,-0.033107,-0.207668,0.319212,0.121624,0.085978,0.043181,-0.015942,-0.093741,-0.035759,-0.034575,1.116296,0.463384,-1.099983,-0.930898,0.008921,-0.012606,1.299777,0.427101,0.143992,0.628602,0.090333,0.049408,-0.036332,-0.218211,0.476636,0.136182,0.085630,0.060308,-0.024142
2,0.019983,-0.748948,-0.830197,-0.787573,0.002755,0.004319,1.812837,0.042744,-0.062430,-1.000787,-0.278009,-0.374266,0.297692,0.152277,0.222971,0.058398,-0.285354,-0.367652,0.284074,-0.314480,2.169091,1.268772,-0.628033,-0.747337,-0.830452,-0.791862,0.001806,0.003423,1.813077,0.043114,-0.062649,-1.005306,-0.229722,-0.185961,0.260642,0.345172,0.009948,0.141860,-0.169537,-0.082841,0.249717
3,0.019960,-0.143960,-0.950979,1.259741,0.013511,-0.014594,1.232564,0.204278,0.800348,-0.698960,0.136649,0.370384,0.470820,-0.864892,-0.193038,0.279300,0.139087,0.372135,0.468967,-0.219064,0.031627,-0.081192,1.040676,-0.140222,-0.940974,1.256996,0.014047,-0.013241,1.232961,0.201337,0.806798,-0.691137,0.143879,0.375500,0.457475,-0.978339,-0.155127,0.264398,0.147740,0.374454,0.454713
4,0.019999,0.218859,-0.382507,0.099601,0.003824,-0.276465,1.566905,0.007911,-0.599952,-0.481977,0.009870,-1.855193,0.002442,0.490895,-0.220616,-1.620257,0.006316,-1.710930,0.000811,1.951200,-0.041457,3.975493,0.064676,0.218867,-0.389711,0.096562,0.003883,-0.284388,1.566886,0.006575,-0.432714,-0.561162,0.007344,-1.227787,0.014359,0.547606,0.179599,-1.784200,0.008553,-1.176800,0.017971
5,0.019970,0.191024,-0.059467,0.363902,-0.002636,-0.029584,1.569538,-0.045835,1.870793,-0.998324,-0.026741,4.355277,0.029724,-1.170134,0.009382,1.229360,-0.034482,4.351859,0.016990,-1.324354,0.070697,-1.061595,0.018007,0.190529,-0.018664,0.357050,-0.002809,-0.006110,1.569666,-0.043942,1.888633,-0.898467,-0.026707,4.336952,0.017918,-1.099054,-0.060166,1.278702,-0.025437,4.340915,0.012658
6,0.019999,0.463384,-1.099983,-0.930898,0.008921,-0.012606,1.299777,0.427101,0.143992,0.628602,0.090333,0.049408,-0.036332,-0.218211,0.476636,0.136182,0.085630,0.060308,-0.024142,-0.098948,-0.052670,-0.049217,1.099297,0.469760,-1.098001,-0.928324,0.009262,-0.012409,1.299713,0.424626,0.149532,0.627787,0.093436,0.050299,-0.023173,-0.073995,0.513907,0.128715,0.090126,0.042748,-0.019218
7,0.019989,-0.108757,-0.526197,1.173123,0.034914,0.044240,1.252534,-0.273323,0.670515,-0.726706,0.035826,0.276793,0.474360,-0.423348,-0.633156,-0.119411,0.031820,0.272515,0.464950,0.192564,-0.120065,-0.160213,0.983635,-0.114454,-0.516242,1.170245,0.035088,0.045710,1.253249,-0.298290,0.651915,-0.745764,0.021585,0.266929,0.471617,-0.182635,-0.495585,-0.130842,0.020034,0.266292,0.467616
8,0.019993,0.219552,0.024190,1.320556,-0.000321,0.006173,1.600212,-0.066743,0.014129,-0.031367,-0.002395,0.022772,-0.100534,0.004952,-0.135101,0.161370,-0.000281,0.022622,-0.103261,-0.132671,-0.052167,-0.054721,0.006604,0.218522,0.024492,1.320241,-0.000314,0.006260,1.600081,-0.066386,0.012266,-0.030910,0.001779,0.022137,-0.105872,-0.108901,0.068007,0.155050,-0.000573,0.020383,-0.113053
9,0.020013,2.054102,2.948178,-0.936250,0.095595,0.025083,1.737105,-2.712505,1.046975,-1.165257,-0.467480,0.252819,0.688857,-1.880244,-2.875719,0.565339,-0.466444,0.254036,0.686385,-0.610555,0.157945,0.113588,-1.178224,2.013282,2.959559,-0.942484,0.093870,0.025983,1.737914,-2.741179,1.030818,-1.136662,-0.471500,0.264069,0.670100,-1.719244,-2.717483,0.588359,-0.474228,0.270647,0.672816
